VarRet,MinVanillaIw,MaxVanillaIw,AvgVanillaIw,ESSRenyi,AvgRet,VarJ,eRenyi2,VarNormIw,MinNormIw,AvgNormIw,J,AvgEpLen,AvgDiscRet,EpsThisIter,VanillaAvgRet,IterType,ESSClassic,VarDiscRet,BatchSize,VarVanillaIw,MaxNormIw,Bound,Delta
42196.53670637394,1.0264786e-12,59.4674,1.6163583,7.125055260192779,132.93902769122084,2755.2185,14.034979,0.0019281597,6.3505635e-15,0.01,905.664,14.3,132.93902769122084,100,132.93902769122084,1,4.977903607112892,42196.53670637394,100,50.375374,0.36790976,310.03033,0.5
373996.218585874,0.00029712578,26.524948,1.0783432,21.650742772097693,446.745530583738,8339.883,4.618779,0.00069717754,2.7553915e-06,0.01,1662.8022,45.68,446.745530583738,100,446.745530583738,1,12.65493108841033,373996.218585874,100,8.106949,0.24597873,588.2423,0.5
2099469.190727558,5.5927458e-14,32.648342,1.5570446,9.753223655578129,1179.7994988169569,3674.5115,10.25302,0.0009696863,3.591898e-16,0.01,3957.8042,118.92,1179.7994988169569,100,1179.7994988169569,1,9.434055689484808,2099469.190727558,100,23.508957,0.20968147,2356.7874,0.5
3417375.6994001996,3.0098045e-06,7.118658,1.1467891,34.773801787777785,3486.1216520648222,657.5761,2.8757281,0.00016614667,2.6245495e-08,0.010000002,4765.6123,349.13,3486.1216520648222,100,3486.1216520648222,1,37.809300852548155,3417375.6994001996,100,2.1850367,0.0620747,3917.7139,0.5
804100.2253178817,0.013781231,2.064982,0.89393204,75.96016129407609,4680.85807594945,225.3608,1.3164796,3.8072503e-05,0.0001541642,0.010000002,4938.106,468.28,4680.85807594945,100,4680.85807594945,1,72.62597949809062,804100.2253178817,100,0.3042429,0.023099989,4364.4165,0.5
283925.42057044245,0.13157733,1.5065987,0.98488843,91.98632191914211,4897.647597850791,152.27249,1.0871181,1.1908022e-05,0.0013359617,0.010000002,4970.7217,489.84,4897.647597850791,100,4897.647597850791,1,89.45427719721316,283925.42057044245,100,0.11550843,0.01529715,4449.397,0.5
478876.79748428054,0.019911218,1.4170443,1.0138309,92.64252142561956,4869.012284016074,111.7689,1.079418,8.959452e-06,0.00019639585,0.01,4982.0815,486.97,4869.012284016074,100,4869.012284016074,1,91.8527999715602,478876.79748428054,100,0.09209002,0.013977126,4462.6064,0.5
267247.09176841803,0.27831578,1.4292607,0.999236,93.09925694686757,4919.327318871306,157.05711,1.0741224,8.166076e-06,0.0027852857,0.010000002,4972.897,492.0,4919.327318871306,100,4919.327318871306,1,92.52026978409948,267247.09176841803,100,0.08153603,0.014303535,4454.6978,0.5
28276.61882990827,0.5601636,1.1598997,1.0066415,98.78552541305443,4982.962329296991,93.52835,1.012294,1.3212159e-06,0.0055646785,0.01,4990.429,498.33,4982.962329296991,100,4982.962329296991,1,98.70888495899322,28276.61882990827,100,0.013388236,0.011522471,4487.365,0.5
0.10069401090386937,1.0,1.0,1.0,100.0,4999.741905173612,0.3157294,1.0,3.5044917e-18,0.01,0.009999998,4999.742,500.0,4999.741905173612,100,4999.741905173612,1,100.0,0.10069401090386937,100,,0.01,4499.742,0.5
0.18968412816848246,1.0,1.0,1.0,100.0,4999.705917157221,0.43332377,1.0,3.5044917e-18,0.01,0.009999998,4999.706,500.0,4999.705917157221,100,4999.705917157221,1,100.0,0.18968412816848246,100,,0.01,4499.706,0.5
1314.6448919646418,0.8975161,1.0400238,0.99703497,99.93040639946632,4996.126123940822,32.508713,1.0006964,7.6669004e-08,0.009001851,0.01,4996.49,499.65,4996.126123940822,100,4996.126123940822,1,99.92414599532755,1314.6448919646418,100,0.00076215004,0.010431167,4496.3164,0.5
3971.839243780447,0.7401382,1.0944585,0.99039423,99.70802926648831,4993.425430387437,46.983456,1.0029283,4.1918696e-07,0.0074731675,0.01,4995.0225,499.38,4993.425430387437,100,4993.425430387437,1,99.58670822171204,3971.839243780447,100,0.004111724,0.011050736,4494.291,0.5
0.07185710636009923,0.9997384,1.0001501,1.0000023,100.0,4999.77900357948,0.26668426,1.0,4.3889415e-13,0.009997361,0.01,4999.78,500.0,4999.77900357948,100,4999.77900357948,1,99.99998092656006,0.07185710636009923,100,4.3891193e-09,0.010001478,4499.78,0.5
0.10921668101890536,0.9975404,1.0016227,0.999793,99.99991655356695,4999.708346585618,0.32853055,1.0000008,7.938977e-11,0.009977469,0.01,4999.709,500.0,4999.708346585618,100,4999.708346585618,1,99.99993513675228,0.10921668101890536,100,7.9357346e-07,0.0100183,4499.709,0.5
48653.608978786986,0.35822928,1.2223369,1.0038488,97.20680477113153,4968.43606166692,84.582664,1.0287346,3.1485686e-06,0.003568558,0.01,4987.8438,496.89,4968.43606166692,100,4968.43606166692,1,96.97715345853945,48653.608978786986,100,0.031728514,0.012176504,4480.711,0.5
0.1136041971261198,1.0,1.0,1.0,100.0,4999.758780666946,0.33534858,1.0,3.5044917e-18,0.01,0.009999998,4999.759,500.0,4999.758780666946,100,4999.758780666946,1,100.0,0.1136041971261198,100,,0.01,4499.759,0.5
36183.30736660036,0.5252397,1.1588849,1.0201062,98.4797787112669,4980.765860396357,97.93415,1.0154369,1.287315e-06,0.0051488727,0.01,4990.001,498.11,4980.765860396357,100,4980.765860396357,1,98.7415940783199,36183.30736660036,100,0.013396013,0.011360434,4486.1567,0.5
0.07268592272171673,0.9956797,1.0065349,1.0001928,99.99978542373924,4999.780701148115,0.26765913,1.0000021,3.9902343e-10,0.009954877,0.010000002,4999.7812,500.0,4999.780701148115,100,4999.780701148115,1,99.99959190732001,0.07268592272171673,100,3.99178e-06,0.010063409,4499.781,0.5
0.08181956846999246,1.0,1.0,1.0,100.0,4999.765721637054,0.28458083,1.0,3.5044917e-18,0.01,0.009999998,4999.7656,500.0,4999.765721637054,100,4999.765721637054,1,100.0,0.08181956846999246,100,,0.01,4499.7656,0.5
0.13131419848960346,0.9955045,1.0018255,1.0001377,99.9997019776643,4999.775029773469,0.35938278,1.000003,1.7512886e-10,0.009953675,0.01,4999.776,500.0,4999.775029773469,100,4999.775029773469,1,99.99983217662982,0.13131419848960346,100,1.7517681e-06,0.010016876,4499.7754,0.5
0.05305874163850502,0.9996313,1.0003196,0.99999624,100.0,4999.780350503892,0.22916783,1.0,1.4366569e-12,0.00999635,0.01,4999.781,500.0,4999.780350503892,100,4999.780350503892,1,100.00001525884785,0.05305874163850502,100,1.4366884e-08,0.010003233,4499.781,0.5
17489.20109258396,0.528121,1.1492966,1.003795,98.99315866185772,4986.547828658587,69.56577,1.0101708,1.3102192e-06,0.0052612433,0.01,4992.821,498.69,4986.547828658587,100,4986.547828658587,1,98.71949322816795,17489.20109258396,100,0.013201827,0.011449515,4490.2847,0.5
305715.3077128062,0.4474737,1.6193495,1.0158976,96.215290079888,4925.693390102958,412.28687,1.0393358,3.3072401e-06,0.0044047125,0.01,4946.724,492.61,4925.693390102958,100,4925.693390102958,1,96.82964139393344,305715.3077128062,100,0.034132306,0.015940085,4436.9854,0.5
0.038997963074086525,0.9988036,1.0008525,1.000037,99.99998807907247,4999.801336607498,0.196408,1.0000001,1.2280851e-11,0.009987667,0.010000002,4999.802,500.0,4999.801336607498,100,4999.801336607498,1,99.99996566900117,0.038997963074086525,100,1.2281781e-07,0.010008155,4499.802,0.5
0.04004397848792396,0.99736893,1.0013168,0.9999404,99.99997615814777,4999.818088841951,0.19896807,1.0000002,3.9699e-11,0.009974284,0.010000002,4999.8184,500.0,4999.818088841951,100,4999.818088841951,1,99.99996566568763,0.04004397848792396,100,3.9694396e-07,0.010013765,4499.8184,0.5
0.038043128113242945,0.9968716,1.0012237,0.99998456,99.99997615814777,4999.827477419204,0.19384675,1.0000002,5.9262734e-11,0.009968869,0.01,4999.828,500.0,4999.827477419204,100,4999.827477419204,1,99.99993133442635,0.038043128113242945,100,5.9260685e-07,0.010012391,4499.828,0.5
0.04044529285339659,0.9986665,1.0017865,1.0000705,99.99996423722592,4999.789170176383,0.2000112,1.0000004,4.2789317e-11,0.009985961,0.010000002,4999.7896,500.0,4999.789170176383,100,4999.789170176383,1,99.99994659802428,0.04044529285339659,100,4.2795253e-07,0.010017158,4499.7896,0.5
