renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,3.93098e-07,5405.98752629,nan,129.592800494,129.592800494,5405.98752629,1.1169e+10,1.57739e-06,69950.1,1,0.7,23344.2,6.45198e+14,454.569,14.1964792731,50000,1.2199168149,63904.9,,0.275688,100,,3522,129.592800494
nan,7.79397e-07,5416.61634358,nan,128.021699902,128.021699902,5416.61634358,6.60921e+19,1.5588e-06,93562.0,1,0.7,18888.4,inf,472.984,14.0291806958,50000,1.99999999484,2.06049e+14,,0.5,100,,3564,128.021699902
nan,8.63864e-07,5914.71924123,nan,142.224512967,142.224512967,5914.71924123,1.51972e+11,1.72855e-06,81004.3,1,0.7,15718.1,7.9843e+16,389.188,15.5569383945,50000,2.00000008834,525505.0,,0.499882,100,,3214,142.224512967
nan,8.98857e-07,7102.04241525,nan,148.24391133,148.24391133,7102.04241525,1.20153e+25,1.80024e-06,103306.0,1,0.7,23764.6,inf,514.3,16.2022034997,50000,1.9999991094,4.32914e+19,,0.499649,100,,3086,148.24391133
nan,1.02199e-06,6642.89737754,nan,168.704296988,168.704296988,6642.89737754,4.16229e+18,2.04399e-06,66683.2,1,0.7,18427.9,7.08226e+31,436.337,18.395879323,50000,1.99999990312,1.70153e+13,,0.5,100,,2718,168.704296988
nan,1.39864e-06,8191.1695628,nan,231.971699252,231.971699252,8191.1695628,2.21338e+11,2.79736e-06,81258.5,1,0.7,11680.6,2.74086e+17,446.472,25.1762336354,50000,2.00000008694,1.23834e+06,,0.499993,100,,1986,231.971699252
nan,1.52793e-06,9949.6224073,nan,253.705811985,253.705811985,9949.6224073,1.34963e+21,3.05586e-06,100044.0,1,0.7,14628.0,inf,528.066,27.502750275,50000,2.00000013956,8.24853e+15,,0.5,100,,1818,253.705811985
nan,1.65556e-06,10411.9986611,nan,276.758374312,276.758374312,10411.9986611,1.82583e+14,3.33067e-06,104412.0,1,0.7,15585.3,2.22067e+23,578.967,29.9760191847,50000,1.99998870177,1.21983e+09,,0.49853,100,,1668,276.758374312
nan,1.69376e-06,9695.48588358,nan,281.538994489,281.538994489,9695.48588358,1.04766e+15,3.38753e-06,116027.0,1,0.7,14676.9,7.43622e+24,620.564,30.487804878,50000,1.99999988053,7.09796e+09,,0.5,100,,1640,281.538994489
nan,1.48699e-06,12250.0672396,nan,295.72884283,295.72884283,12250.0672396,2.16724e+11,3.55669e-06,115801.0,1,0.7,8984.78,3.34946e+17,718.542,32.0102432778,50000,1.99500066212,1.68803e+06,,0.456639,100,,1562,295.72884283
nan,1.88196e-06,18040.5214778,nan,312.985648308,312.985648308,18040.5214778,7.10773e+18,3.76393e-06,139765.0,1,0.7,18030.0,3.80305e+32,775.851,33.8753387534,50000,2.00000003724,5.3506e+13,,0.5,100,,1476,312.985648308
nan,1.22463e-06,18605.6393151,nan,351.817704364,351.817704364,18605.6393151,3.32704e+13,4.22797e-06,150724.0,1,0.7,13690.2,9.65118e+21,703.706,38.0517503805,50000,1.93967077689,3.75336e+08,,0.374774,100,,1314,351.817704364
nan,1.52296e-06,16103.0395571,nan,314.286989033,314.286989033,16103.0395571,3.07544e+08,3.77929e-06,128295.0,1,0.7,15058.1,7.20637e+11,707.576,34.0136054422,50000,1.98483677558,2599.71,,0.447087,100,,1470,314.286989033
nan,2.15834e-07,17172.1532264,nan,353.611935046,353.611935046,17172.1532264,409287.0,4.24737e-06,137558.0,1,0.7,16137.4,2.78342e+06,715.412,38.2262996942,50000,1.17225347414,15.2528,,0.113972,100,,1308,353.611935046
nan,2.30893e-06,23713.8976749,nan,384.777734952,384.777734952,23713.8976749,6.80415e+14,4.62193e-06,149583.0,1,0.7,19381.9,4.27956e+24,764.977,41.5973377704,50000,1.99999972791,6.29242e+09,,0.499781,100,,1202,384.777734952
