VarNormIw,ESSClassic,BatchSize,VarVanillaIw,eRenyi2,Bound,AvgDiscRet,AvgEpLen,MinVanillaIw,AvgVanillaIw,MaxNormIw,AvgRet,MinNormIw,J,VanillaAvgRet,MaxVanillaIw,AvgNormIw,VarRet,VarJ,VarDiscRet,ESSRenyi
0.010000002,1.0,100,6416233500.0,224395.86,3150703.2,-2.9416469260468145e-14,12.62,,8010.139,1.0,-2.9416469260468145e-14,,393.69345,116.11656713830943,801013.94,0.01,5068.28010698178,,5068.28010698178,0.0004456410215345579
0.010000002,1.0,100,1373187000000.0,11317420.0,22580262.0,5.513811629498377e-14,52.66,,117183.06,1.0,5.513811629498377e-14,,193.31639,516.4003096072227,11718306.0,0.01,66831.15623164116,,66831.15623164116,8.835936105578833e-06
0.010000003,1.0,100,300976080000.0,2257374000.0,10573060.0,-8.128608897095546e-14,74.41,,54861.297,1.0,-8.128608897095546e-14,,215.54192,733.8393846589751,5486129.5,0.01,98147.14505454029,,98147.14505454029,4.4299261941691796e-08
0.010000002,1.0,100,35712772.0,3634363.8,564298.7,1.1368683772161604e-14,83.13,,597.6016,1.0,1.1368683772161604e-14,,1098.5634,821.1516060716572,59760.164,0.01,330714.6982915324,1.2066354e-07,330714.6982915324,2.7515132463006763e-05
0.002215369,4.360690430904463,100,119.52307,25.983223,831.1472,4.547473508864641e-15,73.71,5.249543e-32,2.3227522,0.3764545,4.547473508864641e-15,2.260053e-34,425.4343,726.8643640147288,87.441055,0.01,134170.26603179247,2927.0781,134170.26603179247,3.848637259067444
0.00010505637,49.018202892609736,100,0.7701215,3.0135722,34.77456,-1.7564616427989676e-13,79.2,5.365411e-05,0.8561865,0.04913207,-1.7564616427989676e-13,6.266638e-07,110.837685,781.7545076898916,4.2066216,0.010000002,169581.74982951503,705.24994,169581.74982951503,33.183210101268706
3.5044917e-18,100.0,100,,1.0,-47.06239,-5.854872142663226e-14,77.48,1.0,1.0,0.01,-5.854872142663226e-14,0.01,-3.8146973e-06,764.6686415724193,1.0,0.009999998,313130.08817132225,556.7753,313130.08817132225,100.0
3.5044917e-18,100.0,100,,1.0,-56.37392,1.233502189279534e-13,72.27,1.0,1.0,0.01,1.233502189279534e-13,0.01,1.04904175e-05,712.669411800001,1.0,0.009999998,449296.90644961834,666.9363,449296.90644961834,100.0
3.5044917e-18,100.0,100,,1.0,-29.698723,6.764366844436153e-14,71.3,1.0,1.0,0.01,6.764366844436153e-14,0.01,9.536743e-07,702.7635245405473,1.0,0.009999998,124695.99220051411,351.35312,124695.99220051411,100.0
3.5044917e-18,100.0,100,,1.0,-25.46802,-6.593836587853729e-14,70.26,1.0,1.0,0.01,-6.593836587853729e-14,0.01,2.1457672e-06,692.3574026300435,1.0,0.009999998,91699.56025482125,301.30145,91699.56025482125,100.0
3.5044917e-18,100.0,100,,1.0,-30.246449,-7.844391802791505e-14,72.82,1.0,1.0,0.01,-7.844391802791505e-14,0.01,1.9073486e-06,717.9497714008394,1.0,0.009999998,129337.90178583484,357.83307,129337.90178583484,100.0
