AvgNormIw,VarJ,MinNormIw,delta,AvgVanillaIw,MinVanillaIw,AvgRet,MaxNormIw,J,EpsThisIter,Bound,ESSClassic,VarNormIw,AvgDiscRet,AvgEpLen,IterType,VarRet,VarVanillaIw,MaxVanillaIw,SamplesThisIter,BatchSize,ESSRenyi,VarDiscRet,renyi2,VanillaAvgRet
6.51143e-07,8791.03,2.6949e-22,0.6,82723.5,3.42369e-11,48.5751454048,0.174178,51246.5,8532,1049.45,3.41635973945,9.25241e-08,48.5751454048,5.86029067042,1,3486.5857924,1.49334e+15,2.21281e+10,50000,100,0.0437137661864,3486.5857924,7.73526,48.5751454048
6.39452e-07,15278.3,2.86423e-23,0.6,33638.3,1.50672e-12,47.5239145503,0.120268,49909.7,8688,967.72,3.74391468484,5.47191e-08,47.5239145503,5.75506445672,1,3556.79305705,1.51423e+14,6.32666e+09,50000,100,0.0419213358823,3556.79305705,7.77713,47.5239145503
6.5298e-07,10219.1,1.84643e-31,0.6,1646.59,4.65604e-22,48.7357617946,0.147111,25865.9,8508,969.623,3.99937162341,7.92662e-08,48.7357617946,5.87682181476,1,3496.26921944,5.04031e+11,3.70963e+08,50000,100,0.0346272301741,3496.26921944,7.96829,48.7357617946
6.79828e-07,5938.0,5.84314e-19,0.6,119.791,1.02961e-10,51.1555687357,0.0847365,26853.2,8172,814.512,3.99046939857,2.76237e-08,51.1555687357,6.11845325502,1,3873.44965444,8.57696e+08,1.49312e+07,50000,100,0.0655897573651,3873.44965444,7.32951,51.1555687357
6.57306e-07,7721.37,3.40344e-18,0.6,369.811,1.91483e-09,49.1295495718,0.234515,15190.5,8452,548.653,3.99357584271,1.44854e-07,49.1295495718,5.91575958353,1,3170.94841063,4.58515e+10,1.31941e+08,50000,100,0.0863186608469,3170.94841063,7.05488,49.1295495718
6.51449e-07,5583.34,1.61068e-17,0.6,18519.7,4.57891e-07,48.6029524384,0.249824,16051.7,8528,614.062,4.0,1.62633e-07,48.6029524384,5.86303939962,1,3518.99329193,1.31437e+14,7.10214e+09,50000,100,0.0743664981105,3518.99329193,7.20392,48.6029524384
6.79495e-07,6998.23,6.96988e-19,0.6,14.1725,1.45373e-11,51.1260211169,0.144039,16439.6,8176,927.325,3.56201605935,6.42451e-08,51.1260211169,6.11545988258,1,4053.1522107,2.79486e+07,3.00427e+06,50000,100,0.0408724879161,4053.1522107,7.80247,51.1260211169
6.56996e-07,8239.68,4.30184e-14,0.6,12.338,8.07858e-07,49.1017479867,0.132829,17065.7,8456,440.857,3.97661513556,4.9836e-08,49.1017479867,5.91296121097,1,3143.83891564,1.75754e+07,2.49444e+06,50000,100,0.0313668767466,3143.83891564,8.06717,49.1017479867
6.82837e-07,2692.24,1.30324e-15,0.6,14027.3,2.6772e-05,51.4263813851,0.249978,13317.5,8136,1847.44,4.0,1.70679e-07,51.4263813851,6.14552605703,1,5323.64953236,7.20269e+13,5.13523e+09,50000,100,0.0419394282435,5323.64953236,7.7767,51.4263813851
6.42409e-07,5935.1,1.56498e-15,0.6,2.17301,5.29371e-09,47.7895624528,0.0395605,11961.9,8648,415.716,4.07901308682,8.86986e-09,47.7895624528,5.78168362627,1,3144.98476246,101489.0,133817.0,50000,100,0.0415408869933,3144.98476246,7.78625,47.7895624528
