script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,662
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,963
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,100
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,746
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,236
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,247
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,689
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,153
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,947
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,307
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,42
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,950
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,315
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,545
pois/run,rllab.cartpole,linear,is,max-d2,0.4,0.99,False,1,178
