script, env, policy, iw_method, bound, delta, gamma, center, njobs, seed, reward_clustering
pois/run,rllab.cartpole,linear,rbis,max-d2,0.4,0.99,False,1,10, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.4,0.99,False,1,109, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.4,0.99,False,1,904, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.4,0.99,False,1,160, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.4,0.99,False,1,570, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.2,0.99,False,1,10, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.2,0.99,False,1,109, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.2,0.99,False,1,904, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.2,0.99,False,1,160, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.2,0.99,False,1,570, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.6,0.99,False,1,10, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.6,0.99,False,1,109, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.6,0.99,False,1,904, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.6,0.99,False,1,160, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.6,0.99,False,1,570, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.8,0.99,False,1,10, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.8,0.99,False,1,109, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.8,0.99,False,1,904, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.8,0.99,False,1,160, none
pois/run,rllab.cartpole,linear,rbis,max-d2,0.8,0.99,False,1,570, none
