ESSRenyi,J,IterType,renyi2,VarJ,VarDiscRet,AvgNormIw,MinVanillaIw,ESSClassic,Bound,MaxNormIw,AvgEpLen,VarNormIw,AvgDiscRet,delta,VanillaAvgRet,AvgRet,EpsThisIter,AvgVanillaIw,VarRet,MaxVanillaIw,VarVanillaIw,MinNormIw,SamplesThisIter,BatchSize
nan,82381.4,1,nan,9925.88,5942.53640363,1.61171e-06,,2.93532692522,434.11,0.279438,14.5053669858,3.86128e-07,132.463944924,0.8,132.463944924,132.463944924,3447,1.00542e+09,5942.53640363,1.74319e+14,1.50263e+23,,50000,100
nan,61388.8,1,nan,30653.1,4498.8432944,1.53681e-06,,2.99999991922,336.398,0.333326,13.8312586445,5.12243e-07,126.167108427,0.8,126.167108427,126.167108427,3615,8.55559e+14,4498.8432944,1.85566e+20,inf,,50000,100
nan,34714.8,1,nan,9525.71,5353.72349805,1.66185e-06,,3.01106369695,348.936,0.0295956,14.9566257852,7.47362e-09,136.634764115,0.8,136.634764115,136.634764115,3343,1.01368,5353.72349805,18052.5,2780.69,,50000,100
nan,91017.1,1,nan,46643.2,7107.30749868,1.89934e-06,,2.51027216659,446.696,0.130559,17.094017094,2.13198e-07,156.57171426,0.8,156.57171426,156.57171426,2925,3.39406e+12,7107.30749868,2.33306e+17,6.80801e+29,,50000,100
nan,83176.2,1,nan,49906.4,6703.4221695,2.18895e-06,,2.91210673099,388.27,0.280614,19.7005516154,5.32705e-07,180.902093112,0.8,180.902093112,180.902093112,2538,2.50008e+16,6703.4221695,3.20499e+21,inf,,50000,100
nan,89122.1,1,nan,25092.2,8200.42745276,2.88002e-06,,2.99999984495,485.016,0.271624,25.9201658891,6.65685e-07,238.988719898,0.8,238.988719898,238.988719898,1929,2.17169e+09,8200.42745276,2.0482e+14,3.78508e+23,,50000,100
nan,107950.0,1,nan,19092.1,9776.77338728,3.13696e-06,,1.99999999629,707.321,0.5,28.2326369283,1.56847e-06,260.605612429,0.8,260.605612429,260.605612429,1771,8.48293e+16,9776.77338728,1.35209e+22,inf,,50000,100
nan,100437.0,1,nan,40071.6,10454.7270528,3.30491e-06,,2.99999952978,542.054,0.333286,29.744199881,1.10132e-06,274.660387177,0.8,274.660387177,274.660387177,1681,3.04463e+07,10454.7270528,3.07038e+12,9.3468e+19,,50000,100
nan,114611.0,1,nan,67032.6,15289.036988,3.50508e-06,,2.58035804449,588.852,0.236155,31.5457413249,6.81792e-07,291.453473381,0.8,291.453473381,291.453473381,1585,29779.0,15289.036988,2.00636e+09,4.92124e+13,,50000,100
nan,94855.6,1,nan,19848.7,11310.0325072,3.50066e-06,,1.04898285617,525.773,0.24523,31.5059861374,2.39976e-07,291.127707994,0.8,291.127707994,291.127707994,1587,8.01839,11310.0325072,561707.0,1.25904e+06,,50000,100
nan,117921.0,1,nan,30127.4,13081.4387456,3.96259e-06,,2.88694357286,611.343,0.243206,35.6633380884,7.30899e-07,329.966378796,0.8,329.966378796,329.966378796,1402,1235.98,13081.4387456,7.5859e+07,7.11085e+10,,50000,100
nan,108278.0,1,nan,18125.5,14751.5383359,4.02285e-06,,4.86513368772,565.313,0.207589,36.2056480811,6.92803e-07,334.948227048,0.8,334.948227048,334.948227048,1381,206.458,14751.5383359,1.06537e+07,1.82476e+09,,50000,100
nan,148210.0,1,nan,29248.2,22679.4272293,4.26694e-06,,1.94023457997,788.525,0.425348,38.4024577573,1.5915e-06,355.182139602,0.8,355.182139602,355.182139602,1302,3.50664e+22,22679.4272293,3.49557e+27,inf,,50000,100
nan,128761.0,1,nan,22831.1,21343.500273,4.18971e-06,,2.99999103665,705.929,0.332744,37.7073906486,1.39163e-06,348.789660321,0.8,348.789660321,348.789660321,1326,1.58964e+06,21343.500273,1.26248e+11,2.00333e+17,,50000,100
nan,126285.0,1,nan,19096.6,24913.7849704,4.61042e-06,,1.52205982614,643.315,0.0515326,41.4937759336,4.78909e-08,383.785636848,0.8,383.785636848,383.785636848,1205,3.80873,24913.7849704,42571.7,32683.7,,50000,100
nan,145825.0,1,nan,30614.4,29790.8813822,4.85201e-06,,1.92610315187,724.53,0.16047,43.6681222707,3.89535e-07,403.893869333,0.8,403.893869333,403.893869333,1145,36.3041,29790.8813822,1.20068e+06,2.18079e+07,,50000,100
nan,210148.0,1,nan,22814.8,53745.8311353,5.23615e-06,,2.00000014734,1223.42,0.499999,47.1253534402,2.61806e-06,435.608621649,0.8,435.608621649,435.608621649,1061,2.13104e+17,53745.8311353,2.03493e+22,inf,,50000,100
nan,240185.0,1,nan,21352.0,76150.8303793,5.90388e-06,,1.99999197103,1321.51,0.498868,53.1349628055,2.93859e-06,491.336773554,0.8,491.336773554,491.336773554,941,1.62209e+09,76150.8303793,1.37064e+14,2.21826e+23,,50000,100
nan,nan,1,nan,nan,107821.195112,6.56685e-06,,1.99632956887,nan,0.477956,59.1016548463,3.00578e-06,546.693530181,0.8,546.693530181,546.693530181,846,1.67551e+10,107821.195112,1.21949e+15,1.95675e+25,,50000,100
nan,345541.0,1,nan,25944.4,187715.596938,8.01667e-06,,1.99999983104,1942.68,0.5,72.1500721501,4.00831e-06,667.359108518,0.8,667.359108518,667.359108518,693,5.69187e+20,187715.596938,3.55002e+25,inf,,50000,100
nan,367849.0,1,nan,23117.8,202668.122563,7.36811e-06,,1.99999878594,1987.53,0.499549,66.3129973475,3.67738e-06,612.951424383,0.8,612.951424383,612.951424383,754,2.61452e+14,202668.122563,1.77261e+19,inf,,50000,100
nan,277445.0,1,nan,37872.6,177339.784601,8.41751e-06,,1.999981219,2266.4,0.498371,75.7575757576,4.18138e-06,701.250615986,0.8,701.250615986,701.250615986,660,4.04437e+06,177339.784601,2.39453e+11,9.65281e+17,,50000,100
nan,433733.0,1,nan,20118.4,259691.608042,7.30034e-06,,1.9999998085,2267.32,0.499805,65.703022339,3.64729e-06,606.608494873,0.8,606.608494873,606.608494873,761,3.93356e+20,259691.608042,2.69304e+25,inf,,50000,100
nan,nan,1,nan,nan,81411.8830611,6.18659e-06,,1.92167739473,nan,0.315138,55.6792873051,1.32233e-06,515.462293562,0.8,515.462293562,515.462293562,898,2796.35,81411.8830611,1.42443e+08,2.7016e+11,,50000,100
nan,302817.0,1,nan,30500.4,155666.741263,7.08617e-06,,2.00000004775,1596.12,0.5,63.7755102041,3.54306e-06,589.975769277,0.8,589.975769277,589.975769277,784,1.1011e+10,155666.741263,7.76934e+14,8.55474e+24,,50000,100
nan,427830.0,1,nan,20652.5,224104.981147,1.02501e-05,,1.30267058801,1975.1,0.258788,92.2509225092,2.10777e-06,853.960479122,0.8,853.960479122,853.960479122,542,3.63967e+11,224104.981147,9.1892e+15,2.65761e+27,,50000,100
nan,463054.0,1,nan,36373.7,279623.956138,1.34517e-05,,2.48550310539,2320.78,0.247968,121.065375303,1.92934e-06,1119.46742555,0.8,1119.46742555,1119.46742555,413,299.313,279623.956138,5.51751e+06,9.55225e+08,,50000,100
nan,493110.0,1,nan,26107.0,313228.847103,1.52625e-05,,1.91606033645,2342.21,0.243538,137.362637363,1.96461e-06,1271.57969346,0.8,1271.57969346,1271.57969346,364,211.238,313228.847103,3.37065e+06,3.7633e+08,,50000,100
nan,519092.0,1,nan,23537.8,322485.567147,1.48148e-05,,2.00000007391,2393.52,0.5,133.333333333,7.40729e-06,1233.27291632,0.8,1233.27291632,1233.27291632,375,1.72721e+19,322485.567147,5.82933e+23,inf,,50000,100
nan,488820.0,1,nan,40590.0,430690.471581,1.55618e-05,,1.62061837999,2390.86,0.187052,140.056022409,1.34937e-06,1296.64221182,0.8,1296.64221182,1296.64221182,357,35.8077,430690.471581,430408.0,7.14437e+06,,50000,100
nan,643239.0,1,nan,26371.5,477474.947599,1.71468e-05,,1.99952453735,2934.91,0.492404,154.320987654,8.31669e-06,1428.72764892,0.8,1428.72764892,1428.72764892,324,1.06152e+10,477474.947599,3.04836e+14,3.18743e+24,,50000,100
nan,624516.0,1,nan,58550.7,443232.457496,1.71468e-05,,1.09125034899,2724.31,0.582968,154.320987654,6.14748e-06,1428.10095516,0.8,1428.10095516,1428.10095516,324,177.857,443232.457496,6.04692e+06,6.61418e+08,,50000,100
nan,508447.0,1,nan,27009.1,425595.525708,1.76367e-05,,1.83863631839,2529.58,0.172665,158.73015873,1.14817e-06,1466.98428408,0.8,1466.98428408,1466.98428408,315,10.8678,425595.525708,106397.0,435972.0,,50000,100
nan,nan,1,nan,nan,668521.811543,2.05002e-05,,1.30186525904,nan,0.242577,184.501845018,3.71302e-06,1707.08821231,0.8,1707.08821231,1707.08821231,271,2363.28,668521.811543,2.79645e+07,4.93449e+10,,50000,100
nan,693530.0,1,nan,21694.5,546271.152587,1.88964e-05,,1.66131538267,3278.84,0.32932,170.068027211,4.93413e-06,1572.54040272,0.8,1572.54040272,1572.54040272,294,25707.1,546271.152587,4.48013e+08,9.13183e+12,,50000,100
