AvgEpLen,SamplesThisIter,VanillaAvgRet,VarJ,renyi2,MaxVanillaIw,Bound,MaxNormIw,ESSRenyi,AvgVanillaIw,AvgDiscRet,AvgRet,delta,ESSClassic,EpsThisIter,AvgNormIw,BatchSize,VarDiscRet,VarVanillaIw,VarRet,VarNormIw,MinNormIw,MinVanillaIw,J,IterType
450.45045045,50000,-366.923811467,nan,nan,5.56952e+18,nan,0.0618497,nan,4.50697e+15,-366.923811467,-366.923811467,0.4,9.02319471089,111,5.005e-05,100,9847.22734727,inf,9847.22734727,2.56509e-06,,,nan,1
500.0,50000,-409.525153336,105.879,15.9062,1.86467,-460.16,0.000106693,1.2360172459e-05,0.970942,-409.525153336,-409.525153336,0.4,0.721456148581,100,5.55556e-05,100,42.1683690128,0.0103844,42.1683690128,3.39979e-11,3.73913e-05,0.653486,-73625.4,1
454.545454545,50000,-363.955845072,3081.4,nan,6.37726e+09,-291.386,0.0909015,nan,3.54322e+06,-363.955845072,-363.955845072,0.4,11.0000009845,110,5.05051e-05,100,8470.46622165,2.25827e+16,8470.46622165,4.58828e-06,,,-36291.4,1
495.04950495,50000,-398.222265807,1161.04,nan,6.41884,-442.237,0.000381865,nan,0.924597,-398.222265807,-398.222265807,0.4,0.863384188036,101,5.50055e-05,100,1055.93419971,0.164261,1055.93419971,5.81355e-10,5.6269e-06,0.0945836,-70352.1,1
495.04950495,50000,-402.738554559,1934.3,nan,7.69672,-441.836,0.000501038,nan,0.84497,-402.738554559,-402.738554559,0.4,1.04484341663,101,5.50055e-05,100,1028.93402585,0.265952,1028.93402585,1.12702e-09,4.19406e-06,0.0644273,-70045.0,1
480.769230769,50000,-393.983077404,3181.63,nan,6766.35,-324.863,0.0478232,nan,7.55806,-393.983077404,-393.983077404,0.4,1.49299882332,104,5.34188e-05,100,5384.2102677,23004.7,5384.2102677,1.14917e-06,,,-45354.1,1
375.939849624,50000,-302.156423111,nan,nan,138.368,nan,0.00119314,nan,4.84418,-302.156423111,-302.156423111,0.4,1.29244793704,133,4.17711e-05,100,22914.0590178,200.611,22914.0590178,1.49164e-08,,,nan,1
413.223140496,50000,-329.431648911,1460.02,nan,694.652,-195.245,0.00149278,nan,21.3655,-329.431648911,-329.431648911,0.4,1.11953494539,121,4.59137e-05,100,15812.6575509,7461.12,15812.6575509,3.44558e-08,,,-22689.3,1
500.0,50000,-402.425577308,164.94,nan,1.69505,-452.107,8.91542e-05,nan,1.05625,-402.425577308,-402.425577308,0.4,0.677900144244,100,5.55556e-05,100,125.735861002,0.0429325,125.735861002,1.1877e-10,9.14459e-06,0.173862,-72142.9,1
454.545454545,50000,-371.253879276,nan,nan,6469.91,nan,0.00827826,nan,39.4724,-371.253879276,-371.253879276,0.4,8.25094395068,110,5.0505e-05,100,7152.07708487,84555.7,7152.07708487,1.38428e-07,,,nan,1
450.45045045,50000,-361.320587567,2982.57,nan,1.37133e+25,-163.914,0.0999939,nan,6.86394e+21,-361.320587567,-361.320587567,0.4,9.99999889982,111,5.00501e-05,100,14891.5195955,inf,14891.5195955,5.00214e-06,,,-27790.2,1
450.45045045,50000,-361.333728621,1668.71,nan,1.88639e+21,-243.164,0.0889824,nan,1.06104e+18,-361.333728621,-361.333728621,0.4,9.85471145843,111,5.00501e-05,100,9424.18429141,inf,9424.18429141,4.01901e-06,,,-30063.7,1
485.436893204,50000,-387.690238332,3407.56,nan,114.512,-364.347,0.00599919,nan,1.02955,-387.690238332,-387.690238332,0.4,0.714866039825,103,5.39374e-05,100,3670.49119303,17.3432,3670.49119303,4.76009e-08,,,-49967.3,1
413.223140496,50000,-330.563653841,1470.32,nan,4046.54,-192.165,0.00755192,nan,24.6019,-330.563653841,-330.563653841,0.4,9.65218984298,121,4.59137e-05,100,16848.609729,26555.9,16848.609729,9.24925e-08,,,-23536.6,1
