AvgRet,VarDiscRet,MinVanillaIw,IterType,VarJ,MaxNormIw,MinNormIw,MaxVanillaIw,ESSClassic,Bound,AvgVanillaIw,delta,AvgNormIw,AvgEpLen,VanillaAvgRet,J,VarVanillaIw,EpsThisIter,ESSRenyi,AvgDiscRet,renyi2,SamplesThisIter,VarNormIw,BatchSize,VarRet
130.710089249,5317.28589559,,1,15948.0,0.00267251,,3179.04,2.46195055871,329.77,1.89247,0.4,1.59094e-06,14.3184421535,130.710089249,59871.4,1177.7,3492,nan,130.710089249,nan,50000,8.32307e-10,100,5317.28589559
130.207306795,4877.64901899,1.94676e-29,1,9022.69,0.000614744,2.4936e-35,479.932,6.88647598673,243.003,1.23709,0.4,1.58459e-06,14.2612664005,130.207306795,40319.0,76.9162,3506,nan,130.207306795,nan,50000,1.26196e-10,100,4877.64901899
137.30537822,6428.01550456,,1,21408.8,0.00308474,,3493.49,2.39409108502,339.243,1.89054,0.4,1.66934e-06,15.0240384615,137.30537822,63160.2,1215.42,3328,nan,137.30537822,nan,50000,9.47639e-10,100,6428.01550456
132.646516528,5415.00736828,,1,11757.4,0.000795041,,601.938,4.12618786734,247.067,1.22167,0.4,1.61358e-06,14.5222189951,132.646516528,41181.0,70.3912,3443,nan,132.646516528,nan,50000,1.22799e-10,100,5415.00736828
145.124000764,6086.61483664,8.57676e-20,1,12922.9,0.000643236,1.33197e-25,414.189,3.97032217152,218.113,1.13493,0.4,1.76255e-06,15.8629441624,145.124000764,38985.8,31.238,3152,nan,145.124000764,nan,50000,7.53403e-11,100,6086.61483664
154.643763666,6797.76304708,9.80507e-19,1,14251.1,0.0015713,1.45976e-24,1055.43,7.35656797689,258.438,1.25983,0.4,1.87561e-06,16.880486158,154.643763666,45540.1,102.144,2962,nan,154.643763666,nan,50000,2.264e-10,100,6797.76304708
163.141459818,7414.23190319,7.05726e-13,1,10050.7,0.000492315,1.27239e-18,273.061,5.12602418914,229.119,1.09657,0.4,1.97707e-06,17.793594306,163.141459818,42410.0,20.4064,2810,nan,163.141459818,nan,50000,6.63337e-11,100,7414.23190319
200.208493214,9961.80757975,,1,17660.4,0.0023525,,1322.43,6.05336728888,324.633,1.35959,0.4,2.41861e-06,21.7675228559,200.208493214,64672.9,143.573,2297,nan,200.208493214,nan,50000,4.54347e-10,100,9961.80757975
219.953711296,10129.6641549,,1,17395.3,0.00145254,,805.97,2.32258275255,343.597,1.47282,0.4,2.65435e-06,23.8891543239,219.953711296,69735.7,159.154,2093,nan,219.953711296,nan,50000,5.16938e-10,100,10129.6641549
241.548936372,10572.827775,,1,16098.3,0.00310304,,1475.88,5.60403389124,404.148,1.38416,0.4,2.91019e-06,26.1917234154,241.548936372,73808.3,217.107,1909,nan,241.548936372,nan,50000,9.59719e-10,100,10572.827775
262.079926623,12486.9970606,,1,16214.3,0.00251614,,1179.5,3.99182617842,418.369,1.47888,0.4,3.15477e-06,28.3929585463,262.079926623,80050.0,179.25,1761,nan,262.079926623,nan,50000,8.15701e-10,100,12486.9970606
274.996724917,13850.7973079,,1,13642.3,0.00131465,,495.107,5.95708840272,409.492,1.24614,0.4,3.30885e-06,29.7796307326,274.996724917,70427.8,45.6298,1679,nan,274.996724917,nan,50000,3.21714e-10,100,13850.7973079
294.859938442,16155.2239015,,1,18789.3,0.0448374,,31630.5,3.19372058186,507.673,2.50106,0.4,3.54534e-06,31.9081046586,294.859938442,100781.0,12438.3,1567,nan,294.859938442,nan,50000,2.49937e-08,100,16155.2239015
313.739048624,16059.1708662,,1,21443.5,0.00134559,,451.864,1.875332254,493.924,1.26654,0.4,3.77159e-06,33.9443312967,313.739048624,91070.1,86.0357,1473,nan,313.739048624,nan,50000,7.62937e-10,100,16059.1708662
320.77446366,17952.8191456,,1,24687.9,0.00207727,,672.153,2.22300675389,498.706,1.2475,0.4,3.85535e-06,34.6981263012,320.77446366,95799.9,91.5854,1441,nan,320.77446366,nan,50000,8.7473e-10,100,17952.8191456
340.055407429,22368.7238282,,1,16283.2,0.00183913,,569.36,3.5120698401,530.456,1.26463,0.4,4.08497e-06,36.7647058824,340.055407429,97099.5,72.9714,1360,nan,340.055407429,nan,50000,7.61384e-10,100,22368.7238282
348.365548996,21473.0395317,,1,17237.5,0.00195504,,620.702,2.90716040479,541.483,1.32818,0.4,4.1834e-06,37.6506024096,348.365548996,102183.0,104.572,1328,nan,348.365548996,nan,50000,1.03744e-09,100,21473.0395317
373.038557668,28927.9860186,,1,26778.7,0.0103404,,3733.09,3.07286296429,620.904,1.61747,0.4,4.48029e-06,40.3225806452,373.038557668,122345.0,754.667,1240,nan,373.038557668,nan,50000,5.79018e-09,100,28927.9860186
381.340622602,29504.4618582,,1,15087.6,0.00125183,,374.714,3.04482008657,600.625,1.37095,0.4,4.58001e-06,41.2201154163,381.340622602,111292.0,86.7689,1213,nan,381.340622602,nan,50000,9.68401e-10,100,29504.4618582
389.653669248,34634.7005372,,1,18997.1,0.00333607,,952.67,4.95825656709,631.81,1.33655,0.4,4.68033e-06,42.1229991575,389.653669248,115584.0,92.3354,1187,nan,389.653669248,nan,50000,1.13228e-09,100,34634.7005372
403.5581321,36622.2476706,,1,21095.3,0.00414267,,1144.98,5.37148362458,636.015,1.33986,0.4,4.84778e-06,43.630017452,403.5581321,122681.0,116.254,1146,nan,403.5581321,nan,50000,1.52185e-09,100,36622.2476706
418.64336576,35222.6276105,,1,13657.9,0.00149821,,389.861,7.19167971306,654.328,1.30829,0.4,5.02765e-06,45.2488687783,418.64336576,123254.0,70.0521,1105,nan,418.64336576,nan,50000,1.03454e-09,100,35222.6276105
440.628473116,39153.104575,,1,12158.9,0.00104508,,236.372,6.43870506266,649.028,1.1967,0.4,5.291e-06,47.619047619,440.628473116,121565.0,39.8242,1050,nan,440.628473116,nan,50000,7.78491e-10,100,39153.104575
426.994656143,41870.8028925,,1,18909.4,0.00283511,,886.794,4.04954148896,754.04,1.60455,0.4,5.12978e-06,46.1680517082,426.994656143,143924.0,237.689,1083,nan,426.994656143,nan,50000,2.42942e-09,100,41870.8028925
417.270263178,40379.2724751,,1,16394.4,0.00138108,,352.339,3.62267575609,661.624,1.27918,0.4,5.01404e-06,45.1263537906,417.270263178,124027.0,60.7507,1108,nan,417.270263178,nan,50000,9.33398e-10,100,40379.2724751
420.376375739,41213.0622509,,1,20132.1,0.00185174,,499.977,3.19762406337,701.65,1.36366,0.4,5.0505e-06,45.4545454545,420.376375739,136436.0,110.354,1100,nan,420.376375739,nan,50000,1.51373e-09,100,41213.0622509
472.297500991,53821.5408696,,1,19299.2,0.00405091,,1278.58,6.68465075418,811.56,1.7911,0.4,5.67472e-06,51.0725229826,472.297500991,157396.0,291.838,979,nan,472.297500991,nan,50000,2.92949e-09,100,53821.5408696
468.595690953,53188.6985101,,1,31750.0,0.00769108,,2545.08,2.41070162402,811.953,1.86262,0.4,5.62873e-06,50.6585612969,468.595690953,164349.0,683.681,987,nan,468.595690953,nan,50000,6.24343e-09,100,53188.6985101
482.14137475,53449.616174,1.0373e-34,1,20574.1,0.00207996,4.29006e-40,502.915,2.34512639864,761.649,1.40071,0.4,5.79307e-06,52.1376433785,482.14137475,147116.0,98.8479,959,nan,482.14137475,nan,50000,1.69079e-09,100,53449.616174
492.55573229,55369.9099861,,1,25510.0,0.00687141,,1698.81,6.84517440948,779.583,1.46272,0.4,5.91646e-06,53.2481363152,492.55573229,153363.0,195.833,939,nan,492.55573229,nan,50000,3.20397e-09,100,55369.9099861
489.868933546,53251.1752611,,1,24208.9,0.00220165,,539.508,2.56598180282,756.346,1.44213,0.4,5.88512e-06,52.9661016949,489.868933546,151933.0,102.828,944,nan,489.868933546,nan,50000,1.71243e-09,100,53251.1752611
483.774990378,52610.5405935,,1,19487.0,0.00192907,,435.605,2.63190280715,764.396,1.31224,0.4,5.81125e-06,52.3012552301,483.774990378,145805.0,80.7858,956,nan,483.774990378,nan,50000,1.58433e-09,100,52610.5405935
504.23034338,57643.1851313,,1,18889.3,0.00146816,,380.958,1.69859061816,809.47,1.57204,0.4,6.0584e-06,54.5256270447,504.23034338,161267.0,126.957,917,nan,504.23034338,nan,50000,1.88559e-09,100,57643.1851313
531.011265105,63467.7611888,2.89142e-36,1,25058.1,0.00165491,1.44922e-41,330.175,1.92790037061,787.885,1.27256,0.4,6.37837e-06,57.4052812859,531.011265105,158834.0,50.8048,871,nan,531.011265105,nan,50000,1.27634e-09,100,63467.7611888
558.275859619,64134.5394882,,1,15933.9,0.00142206,,268.735,3.71740555564,832.685,1.26796,0.4,6.70961e-06,60.38647343,558.275859619,162420.0,48.0435,828,nan,558.275859619,nan,50000,1.3453e-09,100,64134.5394882
567.395246644,57948.727344,,1,23088.2,0.00177092,,334.796,3.82951659723,803.432,1.2887,0.4,6.81663e-06,61.3496932515,567.395246644,164304.0,46.1272,815,nan,567.395246644,nan,50000,1.2906e-09,100,57948.727344
