MinVanillaIw,VarDiscRet,SamplesThisIter,renyi2,ESSRenyi,Bound,VarRet,VarVanillaIw,AvgNormIw,BatchSize,VanillaAvgRet,AvgVanillaIw,AvgEpLen,MinNormIw,ESSClassic,AvgRet,AvgDiscRet,VarNormIw,J,delta,EpsThisIter,IterType,MaxNormIw,MaxVanillaIw,VarJ
,5317.28589559,50000,nan,nan,369.962,5317.28589559,1.82077e+09,1.59094e-06,100,130.710089249,154.911,14.3184421535,,6.01903013177,130.710089249,130.710089249,1.92044e-07,77141.5,0.6,3492,1,0.188334,1.83382e+07,15153.3
,5764.38941371,50000,nan,nan,333.698,5764.38941371,1.04153e+30,1.60751e-06,100,132.096711793,2.24117e+12,14.4675925926,,2.99999987073,132.096711793,132.096711793,5.35835e-07,55572.8,0.6,3456,1,0.333333,4.64728e+17,33575.3
,6216.38798881,50000,nan,nan,276.562,6216.38798881,1.89939e+13,1.66384e-06,100,136.829924314,9738.61,14.9745432764,,3.0000002455,136.829924314,136.829924314,5.54424e-07,53619.5,0.6,3339,1,0.333277,1.9507e+09,25723.5
,7850.11242446,50000,nan,nan,509.724,7850.11242446,inf,1.83352e-06,100,151.07048773,1.36403e+18,16.501650165,,3.0000001849,151.07048773,151.07048773,6.10937e-07,126601.0,0.6,3030,1,0.33327,2.47933e+23,21584.8
,7180.9962433,50000,nan,nan,360.197,7180.9962433,1.49938e+20,1.93237e-06,100,159.393459126,2.94828e+07,17.3913043478,,3.00000006135,159.393459126,159.393459126,6.44097e-07,70407.6,0.6,2875,1,0.333327,5.0857e+12,19904.3
,9312.10721715,50000,nan,nan,384.817,9312.10721715,inf,2.47023e-06,100,204.503726025,5.18942e+14,22.232103157,,2.9982689058,204.503726025,204.503726025,7.8567e-07,100996.0,0.6,2249,1,0.325511,6.83829e+19,82146.9
,11901.1550135,50000,nan,nan,396.696,11901.1550135,853.95,2.54725e-06,100,211.028097443,1.88053,22.9252636405,,8.09496238947,211.028097443,211.028097443,1.56682e-09,81266.3,0.6,2181,1,0.00553137,4083.57,20931.9
,11206.9105536,50000,nan,nan,435.653,11206.9105536,497294.0,3.18918e-06,100,265.025287117,4.95224,28.7026406429,,2.95128823309,265.025287117,265.025287117,2.06238e-07,86517.7,0.6,1742,1,0.144601,224540.0,41411.9
,12125.506424,50000,nan,nan,486.51,12125.506424,763.593,3.46789e-06,100,288.451378379,1.89967,31.2109862672,,2.61533518276,288.451378379,288.451378379,2.54468e-09,94459.3,0.6,1602,1,0.00632978,3467.39,21230.1
,15188.567694,50000,nan,nan,507.725,15188.567694,327411.0,3.57961e-06,100,297.762142539,4.1961,32.2164948454,,1.99767614973,297.762142539,297.762142539,2.38272e-07,99082.3,0.6,1552,1,0.180498,211583.0,19735.0
