J,SamplesThisIter,VarRet,AvgVanillaIw,MaxNormIw,AvgDiscRet,VarNormIw,VarVanillaIw,AvgRet,AvgNormIw,MinNormIw,BatchSize,MinVanillaIw,IterType,EpsThisIter,delta,VanillaAvgRet,AvgEpLen,renyi2,VarDiscRet,Bound,ESSClassic,MaxVanillaIw,ESSRenyi,VarJ
50180.5,50000,4924.36998671,1.54129,0.00207969,130.335385761,5.39261e-10,509.033,130.335385761,1.58639e-06,,100,,1,3502,0.4,130.335385761,14.2775556825,nan,4924.36998671,300.218,8.04350175533,2020.56,nan,13460.2
56004.5,50000,5068.56107587,2.22584,0.0230265,132.148678913,5.39865e-09,10350.6,132.148678913,1.60751e-06,,100,,1,3456,0.4,132.148678913,14.4675925926,nan,5068.56107587,290.89,4.5436877447,31883.7,nan,22167.9
54715.6,50000,5192.36504809,1.57756,0.00544361,130.548183614,8.48701e-10,836.879,130.548183614,1.58866e-06,,100,,1,3497,0.4,130.548183614,14.2979696883,nan,5192.36504809,303.89,5.81056318696,5405.57,nan,17670.4
54608.4,50000,5317.99221562,31.1853,0.164625,127.382279594,1.67027e-07,6.75279e+07,127.382279594,1.55097e-06,,100,,1,3582,0.4,127.382279594,13.9586823004,nan,5317.99221562,309.531,5.57679032982,3.31013e+06,nan,26472.6
34298.5,50000,5477.02844367,1.05662,0.000238325,136.891569841,2.67754e-11,10.7918,136.891569841,1.66434e-06,2.07771e-25,100,1.31906e-19,1,3338,0.4,136.891569841,14.9790293589,nan,5477.02844367,202.271,7.26206453437,151.303,nan,6711.66
40344.1,50000,6867.02766039,1.11005,0.000378305,156.438112639,4.78411e-11,16.3747,156.438112639,1.89739e-06,2.4572e-21,100,1.43756e-15,1,2928,0.4,156.438112639,17.0765027322,nan,6867.02766039,232.11,7.13439122216,221.324,nan,9260.46
44454.0,50000,8137.40306419,1.11756,0.000550209,171.972622546,6.70619e-11,19.3166,171.972622546,2.08229e-06,1.31315e-18,100,7.04763e-13,1,2668,0.4,171.972622546,18.7406296852,nan,8137.40306419,251.974,4.78057699683,295.294,nan,12251.3
56637.8,50000,8357.01569806,1.3136,0.00188944,186.225839988,3.64584e-10,124.054,186.225839988,2.25195e-06,2.94357e-41,100,1.71707e-35,1,2467,0.4,186.225839988,20.2675314147,nan,8357.01569806,306.069,2.3182387887,1102.15,nan,18594.7
55849.3,50000,7394.21311609,1.21289,0.00107066,208.704432148,2.50927e-10,58.1506,208.704432148,2.51953e-06,6.81526e-40,100,3.28084e-34,1,2205,0.4,208.704432148,22.6757369615,nan,7394.21311609,295.13,3.45941625247,515.411,nan,9498.79
71792.1,50000,9203.97465228,1.63437,0.00234328,222.572508712,7.85853e-10,291.146,222.572508712,2.68514e-06,9.83022e-39,100,5.9834e-33,1,2069,0.4,222.572508712,24.1662638956,nan,9203.97465228,378.021,2.49022528618,1426.29,nan,15991.1
56835.8,50000,9103.68862624,1.14607,0.00126058,237.612659781,1.40087e-10,22.4371,237.612659781,2.86369e-06,1.76874e-24,100,7.07862e-19,1,1940,0.4,237.612659781,25.7731958763,nan,9103.68862624,319.862,7.19149991884,504.494,nan,12967.6
80906.8,50000,10677.7248019,1.62115,0.0126505,244.480984557,2.66741e-09,807.916,244.480984557,2.94568e-06,,100,,1,1886,0.4,244.480984557,26.5111346766,nan,10677.7248019,385.103,3.84685317646,6962.2,nan,43604.9
71963.1,50000,10003.055539,1.4816,0.00457054,267.920844435,9.0399e-10,190.872,267.920844435,3.22435e-06,,100,,1,1723,0.4,267.920844435,29.0191526407,nan,10003.055539,393.941,7.51188237573,2100.18,nan,13902.3
71905.0,50000,11106.3473364,1.40731,0.00146308,275.229497512,5.80671e-10,104.915,275.229497512,3.31082e-06,1.61352e-31,100,6.85848e-26,1,1678,0.4,275.229497512,29.7973778308,nan,11106.3473364,397.34,4.38869129042,621.904,nan,13207.9
90900.0,50000,13495.0864374,1.60279,0.00410206,292.745196728,2.1874e-09,453.355,292.745196728,3.52063e-06,,100,,1,1578,0.4,292.745196728,31.6856780735,nan,13495.0864374,495.159,2.23678416226,1867.49,nan,23276.0
81597.0,50000,13594.565475,1.31585,0.00189443,297.741691984,7.47072e-10,100.95,297.741691984,3.57961e-06,,100,,1,1552,0.4,297.741691984,32.2164948454,nan,13594.565475,456.237,2.55927375222,696.387,nan,14841.3
93433.3,50000,16709.9023868,1.67462,0.00706466,303.834709118,3.30691e-09,695.116,303.834709118,3.65257e-06,,100,,1,1521,0.4,303.834709118,32.8731097962,nan,16709.9023868,500.124,2.5977527912,3238.99,nan,30059.1
87770.3,50000,13328.1700228,1.45438,0.00618631,309.662413674,2.39506e-09,365.88,309.662413674,3.72107e-06,,100,,1,1493,0.4,309.662413674,33.4896182184,nan,13328.1700228,489.618,3.57057055551,2417.92,nan,20112.6
102919.0,50000,23177.7573054,1.31301,0.0017247,346.24268207,9.64934e-10,96.2044,346.24268207,4.15835e-06,,100,,1,1336,0.4,346.24268207,37.4251497006,nan,23177.7573054,578.331,2.9348098241,544.582,nan,15818.8
