renyi2,VarRet,VarNormIw,MaxVanillaIw,Bound,J,delta,VarDiscRet,MinVanillaIw,VarJ,ESSRenyi,AvgDiscRet,AvgVanillaIw,AvgNormIw,ESSClassic,BatchSize,VanillaAvgRet,AvgEpLen,EpsThisIter,AvgRet,SamplesThisIter,IterType,MaxNormIw,VarVanillaIw,MinNormIw
nan,5153.14954251,5.14284e-07,5.75693e+14,364.391,71887.5,0.6,5153.14954251,,19867.6,nan,130.014520667,2.76766e+09,1.58233e-06,2.99975269314,100,130.014520667,14.2409569923,3511,130.014520667,50000,1,0.329136,1.57338e+24,
nan,5730.43532053,5.60648e-07,9.8212e+17,362.644,77672.8,0.6,5730.43532053,,14804.6,nan,138.371647548,4.95573e+12,1.68197e-06,3.00000002321,100,138.371647548,15.1377535574,3303,138.371647548,50000,1,0.333331,4.86707e+30,
nan,6746.0904415,3.90285e-07,1.54324e+21,392.605,90331.6,0.6,6746.0904415,,16256.6,nan,136.19628541,9.32898e+15,1.6559e-06,2.86523865255,100,136.19628541,14.9031296572,3355,136.19628541,50000,1,0.273926,inf,
nan,7625.40939734,2.02797e-09,12478.5,332.373,58570.9,0.6,7625.40939734,,28488.2,nan,163.494047359,1.59498,1.9813e-06,3.34443283188,100,163.494047359,17.8316690442,2804,163.494047359,50000,1,0.0155008,1314.24,
nan,8979.28807672,9.04471e-09,32659.7,407.349,84050.8,0.6,8979.28807672,,19437.2,nan,220.341946884,3.69895,2.65816e-06,5.19851916513,100,220.341946884,23.9234449761,2090,220.341946884,50000,1,0.0234701,17514.2,
nan,7674.76258574,1.31263e-09,1635.06,382.41,72333.8,0.6,7674.76258574,,13800.8,nan,253.610349115,1.81055,3.05418e-06,2.65095138249,100,253.610349115,27.4876305662,1819,253.610349115,50000,1,0.00275816,461.287,
nan,10310.4243644,1.83758e-07,308534.0,483.902,94106.5,0.6,10310.4243644,,19464.7,nan,267.347211391,7.64309,3.21875e-06,3.02879901292,100,267.347211391,28.9687137891,1726,267.347211391,50000,1,0.129933,1.03612e+06,
nan,9353.29554281,1.11083e-07,174206.0,442.458,91047.7,0.6,9353.29554281,,37708.0,nan,278.637229095,6.08542,3.35076e-06,2.71350662814,100,278.637229095,30.1568154403,1658,278.637229095,50000,1,0.0959213,366389.0,
nan,12281.3503019,6.55166e-09,8613.46,477.881,94961.5,0.6,12281.3503019,,35209.4,nan,284.091237214,2.51883,3.4167e-06,4.79106329222,100,284.091237214,30.7503075031,1626,284.091237214,50000,1,0.0116838,3560.7,
nan,11970.7376488,2.41054e-07,715297.0,524.589,104575.0,0.6,11970.7376488,,27354.3,nan,312.612246626,22.531,3.75629e-06,4.91898084334,100,312.612246626,33.8066260987,1479,312.612246626,50000,1,0.119252,8.67271e+06,
nan,15578.4298544,1.76345e-06,1.53422e+07,601.483,120942.0,0.6,15578.4298544,,20130.9,nan,327.23633596,127.391,3.93174e-06,1.99981589941,100,327.23633596,35.3857041755,1413,327.23633596,50000,1,0.473514,1.85128e+09,
nan,12210.675466,3.71157e-09,4719.06,509.776,100860.0,0.6,12210.675466,,15348.1,nan,321.19545723,2.13753,3.85803e-06,4.0313928701,100,321.19545723,34.7222222222,1440,321.19545723,50000,1,0.00851744,1139.34,
nan,15919.9033189,1.12665e-07,92183.3,591.392,110542.0,0.6,15919.9033189,,18047.7,nan,331.83118133,3.36613,3.98533e-06,1.93958293801,100,331.83118133,35.8680057389,1394,331.83118133,50000,1,0.109141,80375.2,
nan,17300.9957691,6.09272e-07,2.1962e+06,641.129,130791.0,0.6,17300.9957691,,23082.9,nan,335.147605099,33.1576,4.02577e-06,1.88052182349,100,335.147605099,36.231884058,1380,335.147605099,50000,1,0.266647,4.13314e+07,
nan,24831.4139168,2.61384e-07,231773.0,730.924,142621.0,0.6,24831.4139168,,22797.4,nan,362.97785157,8.10148,4.36072e-06,2.0148320259,100,362.97785157,39.2464678179,1274,362.97785157,50000,1,0.124755,902177.0,
nan,18276.3584745,2.32494e-09,1251.28,601.194,107094.0,0.6,18276.3584745,,21750.2,nan,349.027032887,1.45966,4.19287e-06,2.59469163159,100,349.027032887,37.7358490566,1325,349.027032887,50000,1,0.00359429,281.768,
nan,19400.3900593,3.07723e-09,3142.14,593.418,109767.0,0.6,19400.3900593,,16263.1,nan,346.99684776,1.55322,4.16771e-06,3.20184862927,100,346.99684776,37.5093773443,1333,346.99684776,50000,1,0.0084312,427.396,
