ESSRenyi,VarVanillaIw,BatchSize,VarNormIw,Bound,AvgRet,MaxNormIw,AvgNormIw,AvgDiscRet,ESSClassic,J,VarDiscRet,MinVanillaIw,MinNormIw,MaxVanillaIw,eRenyi2,VarJ,AvgVanillaIw,VanillaAvgRet,AvgEpLen,VarRet
3.457772813952805e-05,12611661000.0,100,0.010000003,2792850.8,-2.9416469260468145e-14,1.0,0.01,-2.9416469260468145e-14,1.0,253.70937,5068.28010698178,,,1123016.6,2892035.0,,11230.166,116.11656713830943,12.62,5068.28010698178
2.326382103607753e-06,3086955600000.0,100,0.010000003,27348064.0,1.3500311979441903e-14,1.0,0.01,1.3500311979441903e-14,1.0,156.49135,6638.380067667816,,,17569734.0,42985200.0,,175697.34,193.3425252062473,20.35,6638.380067667816
0.00012834461041274264,36914004000.0,100,0.010000002,2984619.0,3.922195901395753e-14,1.0,0.01,3.922195901395753e-14,1.0,156.6064,8956.31480093659,,,1921301.8,779152.3,,19213.018,233.23277809064132,24.34,8956.31480093659
1.2561912642650567e-06,6192207400.0,100,0.010000001,711745.2,2.0321522242738864e-14,1.0,0.01,2.0321522242738864e-14,1.0,125.30536,10435.437417592584,,,786905.8,79605710.0,1.7028433e-05,7869.058,234.53293308946493,24.47,10435.437417592584
0.23090325183343932,2728.3005,100,0.0045937346,291.2296,1.3926637620897963e-14,0.6166752,0.01,1.3926637620897963e-14,2.1515564229220243,100.91964,7908.937177921761,,,475.2472,433.08182,120.21074,7.7066045,222.03120552665666,23.22,7908.937177921761
46.80371849458727,0.9170078,100,0.00012152927,-1.7425995,-1.2221335055073723e-14,0.041373722,0.010000002,-1.2221335055073723e-14,45.3897640726585,35.919483,8914.285567650208,0.0018288759,2.1054171e-05,3.5939386,2.1365824,138.37817,0.8686525,232.03240583703052,24.22,8914.285567650208
89.66752839452991,0.111162014,100,1.0063293e-05,-9.253724,-1.0800249583553523e-14,0.018874293,0.01,-1.0800249583553523e-14,90.93995294424248,12.673096,8594.586968371063,0.23360112,0.002222628,1.983713,1.1152309,103.4641,1.0510131,225.83228596189173,23.6,8594.586968371063
100.0,,100,3.5044917e-18,-24.944326,-1.4779288903810084e-14,0.01,0.009999998,-1.4779288903810084e-14,100.0,,9995.57875934774,1.0,0.01,1.0,1.0,99.47674,1.0,233.43292789094764,24.36,9995.57875934774
100.0,,100,3.5044917e-18,-25.155949,-3.0269120543380266e-14,0.01,0.009999998,-3.0269120543380266e-14,100.0,1.1920929e-07,9363.821868527422,1.0,0.01,1.0,1.0,96.2818,1.0,240.9353169298304,25.11,9363.821868527422
100.0,,100,3.5044917e-18,-29.245861,,0.01,0.009999998,,100.0,-1.4305115e-06,8332.402308165882,1.0,0.01,1.0,1.0,90.82443,1.0,222.332859329446,23.25,8332.402308165882
