VanillaAvgRet,VarVanillaIw,BatchSize,J,AvgRet,ESSRenyi,EpsThisIter,MaxVanillaIw,SamplesThisIter,IterType,MinVanillaIw,AvgNormIw,Bound,AvgVanillaIw,ESSClassic,AvgEpLen,VarNormIw,renyi2,AvgDiscRet,MaxNormIw,VarDiscRet,MinNormIw,VarRet,VarJ,delta
-406.023216426,0.0717753,100,-72571.4,-406.023216426,nan,100,2.0781,50000,1,0.205137,5.55555e-05,-454.851,1.01201,0.93568469309,500.0,2.163e-10,nan,-406.023216426,0.000114079,208.713314097,1.12612e-05,208.713314097,277.65,0.4
-327.687601277,1103.79,100,-27068.1,-327.687601277,nan,123,456.831,50000,1,,4.51671e-05,-204.514,9.0883,2.73543540812,406.504065041,2.72626e-08,nan,-327.687601277,0.00227036,17719.8688448,,17719.8688448,1926.34,0.4
-359.218943056,52520.3,100,-35280.1,-359.218943056,nan,110,5884.99,50000,1,,5.05051e-05,-292.591,41.5895,5.50472211714,454.545454545,7.74516e-08,nan,-359.218943056,0.00714656,7845.86155866,,7845.86155866,1407.94,0.4
-409.000596458,0.00712824,100,-73560.5,-409.000596458,0.153637401105,100,1.84347,50000,1,0.777166,5.55556e-05,-459.545,0.977737,0.725414502025,500.0,2.3014e-11,6.47833,-409.000596458,0.000104747,32.1047138807,4.4159e-05,32.1047138807,96.4018,0.4
-361.600707905,inf,100,-34115.9,-361.600707905,nan,112,5.76288e+22,50000,1,,4.96032e-05,-250.588,5.14662e+19,8.74879744804,446.428571429,2.11406e-06,nan,-361.600707905,0.0555427,9941.39479518,,9941.39479518,1578.42,0.4
-301.078042819,377.342,100,-22493.2,-301.078042819,nan,132,197.548,50000,1,,4.20875e-05,-174.383,6.61448,3.22435419414,378.787878788,1.52775e-08,nan,-301.078042819,0.00125699,21342.1813465,,21342.1813465,2084.54,0.4
-366.741276479,inf,100,-26087.4,-366.741276479,nan,110,2.95334e+22,50000,1,,5.05051e-05,-223.599,2.11479e+19,9.3742545483,454.545454545,2.67774e-06,nan,-366.741276479,0.0705312,9895.99203402,,9895.99203402,1579.72,0.4
-369.387341215,inf,100,-28137.7,-369.387341215,nan,111,1.10397e+23,50000,1,,5.00501e-05,-210.27,9.08056e+19,7.50966067599,450.45045045,2.46528e-06,nan,-369.387341215,0.0608486,11326.9904114,,11326.9904114,1919.41,0.4
-363.71696657,inf,100,-30830.0,-363.71696657,nan,110,1.11873e+23,50000,1,,5.05051e-05,-257.948,1.04796e+20,6.63218620299,454.545454545,2.21124e-06,nan,-363.71696657,0.053916,8326.22509277,,8326.22509277,1608.75,0.4
-331.404129319,16568.2,100,nan,-331.404129319,nan,121,4163.13,50000,1,,4.59137e-05,nan,22.4263,6.87277253112,413.223140496,6.94456e-08,nan,-331.404129319,0.00852323,16518.4424272,,16518.4424272,nan,0.4
-398.279693044,0.847691,100,-66243.6,-398.279693044,nan,101,14.3235,50000,1,7.48394e-08,5.50055e-05,-428.659,0.860535,0.803253860462,495.04950495,3.46348e-09,nan,-398.279693044,0.000915562,1680.23874938,4.78375e-12,1680.23874938,3340.61,0.4
-338.370931149,286018.0,100,nan,-338.370931149,nan,120,16083.3,50000,1,,4.62963e-05,nan,58.9992,16.962788798,416.666666667,1.76114e-07,nan,-338.370931149,0.0126205,16741.5754003,,16741.5754003,nan,0.4
-370.212229253,inf,100,-33708.8,-370.212229253,nan,110,4.19774e+21,50000,1,,5.05051e-05,-272.602,3.18048e+18,9.07031905036,454.545454545,2.47174e-06,nan,-370.212229253,0.0666589,8198.60213328,,8198.60213328,1457.23,0.4
-360.314075043,inf,100,-30423.9,-360.314075043,nan,110,4.70848e+22,50000,1,,5.05051e-05,-246.792,2.5507e+19,9.98591951841,454.545454545,4.39371e-06,nan,-360.314075043,0.0932303,9853.79877292,,9853.79877292,1700.92,0.4
-327.687779611,4252.45,100,nan,-327.687779611,nan,121,832.602,50000,1,,4.59137e-05,nan,16.0438,1.3803022192,413.223140496,3.48264e-08,nan,-327.687779611,0.00238272,15944.8193467,,15944.8193467,nan,0.4
-296.198335546,313.384,100,-22955.9,-296.198335546,nan,135,771.028,50000,1,,4.11523e-05,-172.148,3.87255,9.36081126372,370.37037037,3.53893e-08,nan,-296.198335546,0.00819345,23683.5278065,,23683.5278065,2096.39,0.4
-248.772131129,204.157,100,-16473.2,-248.772131129,nan,153,191.844,50000,1,,3.63108e-05,-140.64,5.37782,9.22252553368,326.797385621,9.30731e-09,nan,-248.772131129,0.00129532,22632.2023224,,22632.2023224,1358.66,0.4
-271.248620318,268.59,100,-17699.7,-271.248620318,nan,142,193.019,50000,1,,3.91236e-05,-139.677,5.96316,6.2536817954,352.112676056,1.15615e-08,nan,-271.248620318,0.00126637,24888.3106243,,24888.3106243,2265.43,0.4
-319.286091771,277915.0,100,-24970.2,-319.286091771,nan,124,23855.5,50000,1,,4.48029e-05,-192.65,33.117,9.27634168467,403.225806452,5.08653e-07,nan,-319.286091771,0.0322733,17119.7977385,,17119.7977385,1661.58,0.4
-271.718058406,166.033,100,-18647.0,-271.718058406,nan,144,145.194,50000,1,,3.85802e-05,-138.511,5.32829,6.16637792419,347.222222222,8.70461e-09,nan,-271.718058406,0.0010513,25773.3243142,,25773.3243142,1630.38,0.4
-304.16792917,144.609,100,-27008.0,-304.16792917,nan,130,178.638,50000,1,,4.2735e-05,-170.966,4.2122,4.608316535,384.615384615,1.48849e-08,nan,-304.16792917,0.00181238,21041.6108995,,21041.6108995,1901.34,0.4
-347.445177831,2.40175e+22,100,-26335.0,-347.445177831,nan,114,6.98999e+12,50000,1,,4.87329e-05,-209.134,3.85078e+09,9.90835352293,438.596491228,3.84658e-06,nan,-347.445177831,0.0884607,12419.5058751,,12419.5058751,1723.74,0.4
