SamplesThisIter,VarNormIw,Bound,MinNormIw,VarRet,VanillaAvgRet,VarDiscRet,BatchSize,ESSClassic,ESSRenyi,AvgRet,EpsThisIter,renyi2,AvgDiscRet,VarVanillaIw,AvgNormIw,MaxNormIw,delta,VarJ,AvgVanillaIw,IterType,AvgEpLen,MinVanillaIw,MaxVanillaIw,J
50000,1.29218e-07,702.131,1.38843e-40,4672.42430824,50.8285634894,4672.42430824,100,4.0,0.0863611843585,50.8285634894,8216,7.05439,50.8285634894,1.01042e+15,6.76187e-07,0.217562,0.6,11079.6,59793.8,1,6.08568646543,1.22776e-29,1.92385e+10,38629.2
50000,1.43497e-07,551.125,,3714.54583088,49.9528141948,3714.54583088,100,4.00001812079,0.047960777077,49.9528141948,8336,7.64254,49.9528141948,5.46342e+13,6.66454e-07,0.231687,0.6,8150.75,13004.1,1,5.9980806142,,4.52077e+09,26880.6
50000,4.26342e-08,900.763,5.83612e-14,3561.47197192,49.6094495841,3561.47197192,100,4.00179410956,0.058045942031,49.6094495841,8384,7.45169,49.6094495841,8.90652e+08,6.62638e-07,0.114722,0.6,2363.69,95.7747,1,5.96374045802,8.43526e-06,1.65814e+07,16539.1
50000,1.40634e-07,476.329,4.70316e-22,3172.95283897,48.11204118,3172.95283897,100,4.00009913654,0.0460779051832,48.11204118,8600,7.68259,48.11204118,3.67805e+11,6.45995e-07,0.23313,0.6,7108.68,1044.7,1,5.81395348837,7.60594e-13,3.77018e+08,21725.9
50000,7.32704e-08,521.467,1.06168e-14,3922.85628938,52.5326957752,3922.85628938,100,4.00741378051,nan,52.5326957752,7992,nan,52.5326957752,1.54213e+09,6.95139e-07,0.141491,0.6,7173.34,100.848,1,6.25625625626,1.54024e-06,2.0527e+07,16533.5
50000,5.3853e-08,537.875,1.8661e-16,3743.04701239,51.7914310437,3743.04701239,100,3.67784410119,0.0280732517221,51.7914310437,8088,8.17811,51.7914310437,2.00208e+09,6.86889e-07,0.120864,0.6,3518.4,132.441,1,6.18199802176,3.59808e-08,2.33041e+07,15824.9
50000,7.6462e-08,638.568,7.31276e-19,3698.87558129,50.7044565852,3698.87558129,100,3.99573459505,0.0233920800448,50.7044565852,8232,8.36053,50.7044565852,1.98932e+08,6.74873e-07,0.148964,0.6,2856.47,34.4232,1,6.07385811467,3.73001e-11,7.5982e+06,13584.3
50000,1.68742e-08,360.514,3.10686e-09,2849.91496958,49.1803045597,2849.91496958,100,4.07586090614,0.0558565055101,49.1803045597,8444,7.49014,49.1803045597,197518.0,6.57929e-07,0.0690213,0.6,2348.08,2.25098,1,5.92136428233,0.0106295,236143.0,10551.9
50000,7.24253e-08,473.655,8.88532e-12,3287.24075261,49.7174795226,3287.24075261,100,4.00086705622,0.0400130042264,49.7174795226,8368,7.82372,49.7174795226,6.03666e+08,6.63905e-07,0.151602,0.6,5402.62,60.6121,1,5.97514340344,0.000811197,1.38407e+07,13264.8
50000,1.52164e-07,390.754,2.41644e-14,3381.90654077,47.8696105986,3381.90654077,100,3.99719547714,0.0563508052243,47.8696105986,8636,7.48133,47.8696105986,1.2166e+11,6.43302e-07,0.243089,0.6,1147.98,575.219,1,5.78971746179,2.1607e-05,2.17362e+08,9896.14
