renyi2,VarDiscRet,IterType,VanillaAvgRet,ESSClassic,EpsThisIter,VarNormIw,SamplesThisIter,MinVanillaIw,MinNormIw,VarRet,J,AvgEpLen,Bound,AvgVanillaIw,AvgNormIw,MaxVanillaIw,BatchSize,delta,ESSRenyi,AvgDiscRet,MaxNormIw,AvgRet,VarJ,VarVanillaIw
nan,6516.28975104,1,133.699463018,11.000000485,3415,1.47889e-07,50000,,,6516.28975104,84468.2,14.6412884334,412.838,1.4969e+15,1.62681e-06,8.36496e+19,100,0.5,nan,133.699463018,0.090909,133.699463018,5545.3,inf
nan,4348.51990707,1,126.383588341,10.9669993841,3608,4.93333e-08,50000,,,4348.51990707,63025.4,13.8580931264,307.695,114.693,1.53979e-06,3.44356e+06,100,0.5,nan,126.383588341,0.0462309,126.383588341,6006.23,2.7371e+08
nan,4699.88826131,1,127.768955676,7.37307036778,3573,8.95213e-09,50000,,,4699.88826131,61890.5,13.9938427092,310.02,24.8399,1.55487e-06,206185.0,100,0.5,nan,127.768955676,0.0129063,127.768955676,8812.96,2.28474e+06
nan,6240.89273591,1,133.570184584,9.98671272713,3419,1.5068e-07,50000,,,6240.89273591,71700.0,14.6241591109,358.873,1.13355e+06,1.62491e-06,6.71282e+10,100,0.5,nan,133.570184584,0.0962262,133.570184584,6668.56,7.33294e+16
nan,7008.08476337,1,161.482975806,9.6461260291,2838,3.193e-08,50000,,,7008.08476337,70711.4,17.6180408739,347.146,58.6612,1.95756e-06,891218.0,100,0.5,nan,161.482975806,0.0297405,161.482975806,6571.0,2.86729e+07
nan,8677.71619057,1,198.121512064,10.9999958511,2321,2.17355e-07,50000,,,8677.71619057,104354.0,21.542438604,452.177,1.99655e+13,2.3936e-06,7.5787e+17,100,0.5,nan,198.121512064,0.0908589,198.121512064,16133.4,1.51225e+31
nan,7830.34433131,1,199.603260859,9.80917827802,2303,1.88566e-07,50000,,,7830.34433131,96740.4,21.7108119844,430.018,1.22215e+14,2.41231e-06,4.43638e+18,100,0.5,nan,199.603260859,0.0875665,199.603260859,5226.17,4.84001e+32
nan,11776.5855376,1,250.177021342,9.61475531598,1843,1.52781e-08,50000,,,11776.5855376,87594.3,27.1296798698,440.406,14.3348,3.01441e-06,86029.2,100,0.5,nan,250.177021342,0.0180908,250.177021342,3848.37,345498.0
nan,12913.9502294,1,261.794822745,9.99990575827,1762,3.13094e-07,50000,,,12913.9502294,113083.0,28.3768444949,529.485,1.90139e+08,3.15298e-06,6.00941e+12,100,0.5,nan,261.794822745,0.0996508,261.794822745,4460.39,1.13861e+21
nan,8789.59658134,1,244.143973792,9.99826084896,1889,2.8613e-07,50000,,,8789.59658134,101529.0,26.4690312335,491.099,2.67087e+09,2.941e-06,8.95693e+13,100,0.5,nan,244.143973792,0.0986284,244.143973792,2726.84,2.35981e+23
nan,9803.30802701,1,252.824191753,10.0000016983,1824,3.04572e-07,50000,,,9803.30802701,98839.8,27.4122807018,490.861,1.60787e+18,3.04581e-06,5.27897e+22,100,0.5,nan,252.824191753,0.1,252.824191753,3872.98,inf
nan,8722.03647854,1,274.982998536,9.58166452133,1677,2.11144e-08,50000,,,8722.03647854,94205.1,29.8151460942,450.144,40.4054,3.31279e-06,220844.0,100,0.5,nan,274.982998536,0.0181068,274.982998536,4030.95,3.14101e+06
nan,11799.1020422,1,286.944125866,8.18339903688,1609,1.94645e-07,50000,,,11799.1020422,123210.0,31.0752019888,596.37,8.95745e+08,3.4528e-06,1.76209e+13,100,0.5,nan,286.944125866,0.0679227,286.944125866,3900.58,1.30999e+22
nan,19773.226112,1,299.015600023,10.0000019618,1546,3.59338e-07,50000,,,19773.226112,152390.0,32.3415265201,732.365,2.98307e+16,3.5935e-06,8.3013e+20,100,0.5,nan,299.015600023,0.1,299.015600023,4720.02,inf
nan,12691.0065811,1,255.825260602,9.56651949749,1804,2.13312e-07,50000,,,12691.0065811,128499.0,27.7161862528,707.265,1.20201e+09,3.07958e-06,3.17732e+13,100,0.5,nan,255.825260602,0.0814039,255.825260602,3393.29,3.24973e+22
nan,11997.174884,1,291.923079544,5.57031165681,1582,2.55165e-08,50000,,,11997.174884,109308.0,31.605562579,487.384,76.8525,3.51173e-06,438428.0,100,0.5,nan,291.923079544,0.0200337,291.923079544,7370.62,1.22207e+07
nan,14430.4999225,1,307.521361568,5.47332401418,1502,1.83583e-07,50000,,,14430.4999225,134174.0,33.2889480692,616.519,1.02254e+15,3.69877e-06,1.44096e+19,100,0.5,nan,307.521361568,0.0521228,307.521361568,2991.2,inf
